69baa7b3aae41dfdea12b2a95222ce11440dbac0,optimsoc/optimsoc,",type:bug,prio:p3"
8a7c87f9a9527deb9cb52a1d276da7fa735f27a4,enzo-project/enzo-dev,",bug,major"
c2cd5d921bd9a5dbdd35f6aa08bf6be0f2f98ec2,petabi/sniffles,",bug"
d74ca133ee12b67fb493f4746c74442ee0016284,jpy-consortium/jpy,",bug"
de63f9bf93b224292f394b08ef4bc91a3ff5e624,jpy-consortium/jpy,",bug"
3b7003b7cdf9130465a544fe9e4271fc418ddf74,jpy-consortium/jpy,",bug"
d17bb319d0818a1e7afc4d031d59d8e20f561720,gammu/python-gammu,",bug"
45ac60ca6b3340d5551405c9f067d640285a0310,gammu/python-gammu,",bug"
27e832d27bf1469c99e9848f3f6c7ed55cf536c8,gammu/python-gammu,",bug"
f285defdcc34679f4cadac8313b0ba28c3b996be,gammu/python-gammu,",bug"
7de349e61a3415301d1beca5d5f706b2e3a272f3,gammu/python-gammu,",bug"
6b2dc233b4bdd6f7799dbb24ae02b8fb649e09db,gammu/python-gammu,",bug"
2af7334202a48c577d1849fb38baafc90d9ffcf5,gammu/python-gammu,",bug"
f5e3e209040ba094d4286e4b0d16234e923b1632,gammu/python-gammu,",bug"
19d613d72b202bbaec5fc1c5866a55c2bdbdbfa6,gammu/python-gammu,",bug"
9eba760bed4251f3310b26085f11617f7fbb6387,gammu/python-gammu,",bug"
5b6c3d0fddd9cf08ddd658f5b99b9a88472d9d47,gammu/python-gammu,",bug"
f5fb42540d47bb739b16a2af1898832d8bf2455a,mosquito/caio,",bug"
284149c141d676db0ce558349bb7d4798ca28d79,mosquito/caio,",bug"
8ea5dac22259956892c5169ef573888778ffec80,tskit-dev/tsinfer,",bug"
a8fc029bb9491d4f957de3952fa9c41c95b100cc,tskit-dev/tsinfer,",bug"
27c028aaa2d48d6167da5b420a02b77e07a6373f,tskit-dev/tsinfer,",bug"
c37d42f30998183912fd3d4e7ab03779b062faea,tskit-dev/tsinfer,",bug"
8ea5dac22259956892c5169ef573888778ffec80,tskit-dev/tsinfer,",bug"
a8fc029bb9491d4f957de3952fa9c41c95b100cc,tskit-dev/tsinfer,",bug"
27c028aaa2d48d6167da5b420a02b77e07a6373f,tskit-dev/tsinfer,",bug"
c37d42f30998183912fd3d4e7ab03779b062faea,tskit-dev/tsinfer,",bug"
f8536b41233ab4b65f0560766a7cc3183d236e6c,spacetelescope/drizzle,",bug"
f3f73e15c80c6350ad77e0899ac98452d1ee2628,spacetelescope/drizzle,",bug,testing,maintenance"
1c6c19001bab59dbe8744f92b7db14072079495a,spacetelescope/drizzle,",bug"
1039c3bb2ac5708ae6e31a91d56dfed53640c256,spacetelescope/drizzle,",bug"
3c039aa1ffcda27ad13a6c231fef310d6d16f184,spacetelescope/drizzle,",bug"
0f285e33dc92baf8db183b450e4fb88b3603e014,spacetelescope/drizzle,",bug,documentation"
740d94ca6b0f863a75c5baf1464fd10825fbf97f,spacetelescope/drizzle,",bug"
dbecf3698a1039e6d74beff39a25e57215570834,spacetelescope/drizzle,",bug"
7f3130a9fa64145bec0f97193a8bf1e4e042c444,spacetelescope/drizzle,",bug"
d21f1d6343020564c82da00789348b18a9476df5,spacetelescope/drizzle,",bug"
16bec1a7b0af9abf3ce2e97ddb1949016d2fa4fa,spacetelescope/drizzle,",bug"
5ffabe785d37f5d0c07aa2f8d0c62c3f7c07df27,PCMDI/cmor,",bug"
af19e9f868a8d0c39ffd87f7b50f2feec95f1607,PCMDI/cmor,",bug,obs4MIPs"
921bd48c9f9aad4c9409dbccb15010dddb7f535a,PCMDI/cmor,",bug"
c70db5b594fd86b7788939c275ff33a2a72b2650,PCMDI/cmor,",bug,invalid"
a100f8f11de8bb957d709a1bb18b59d1a0032417,PCMDI/cmor,",bug"
26ee2c64b0471393f3eb11a3bc5b33e03cfe3dfe,SRI-CSL/libpoly,",bug"
8b3f48506b1c96f6281144d08b1b15227d2ce10f,SRI-CSL/libpoly,",bug"
