60619c7c2585b0f780acd48df020e5256a822be7,esheldon/fitsio,",Bug"
8da60e2cf257bb4b087922a40a315f11e506d8b1,apple/ccs-pykerberos,",P1: Blocker,Other,Defect"
60211acb92a0624ab3e071b87cce5fc3662944b8,Marco-Sulla/python-frozendict,",Type: Defect,Priority: Low,Effort: Medium,Needs: Test"
6addde91b421a40f4153b58e7390183c50aa35d9,Marco-Sulla/python-frozendict,",Type: Bug"
a31eecbe5a6d3caf5210a81d1a2e1e859dae599b,Marco-Sulla/python-frozendict,",Needs: Doc,Type: Enhancement,Status: Fixed,Priority: Low,Effort: Low"
5990c09dd5c1156ddff988c629dd2eeeb351c6dd,Marco-Sulla/python-frozendict,",Type: Bug"
0e7298dbf52cf21b6bb514e59680c00e38fc3d7a,Marco-Sulla/python-frozendict,",Type: Enhancement,Status: Wontfix"
bd3713e2d7aa04550ea1000309bc5d1bffad8ff5,cloudberrydb/cloudberrydb,",type: Bug"
57ae718650ec2d219c454ffefc63d56703830d78,cloudberrydb/cloudberrydb,",type: Bug"
30460ebd26bf8526f0c3f5b6357cb9cb630f9228,cloudberrydb/cloudberrydb,",type: Bug"
4e78d4a0f148ef4170bad016bbd5cf8f776bac5a,cloudberrydb/cloudberrydb,",good first issue"
db09bfbd27eb6b3fb587879d9c7b89fa217fe137,cloudberrydb/cloudberrydb,",type: Bug"
e12c907004b344687990358790230897af52e21e,cloudberrydb/cloudberrydb,",type: Bug"
e0e7daef6daf9a760c9c90bc7fe5b9ba4349267f,cloudberrydb/cloudberrydb,",type: Bug"
5c0658b2d4e2c7e4005bcff902377129a9247495,MinoMino/minqlx,",bug"
ed62b85953efa7de27779f6b9929091e9b3f943a,NREL/pysam,",bug"
0b561527bbca1038679f345ae31641250d429a5f,NREL/pysam,",bug"
f37d3227c8ae21b7214cff6b962f7aa0f417a052,NREL/pysam,",bug"
4a2c5339dab720b6041098efd41ef91fb967a239,NREL/pysam,",bug"
e0788bc155e8289ce981824e33cec4303e332a02,NREL/pysam,",bug"
9cd1faad618b070d11822627398e976f9f78d0a5,NREL/pysam,",bug"
cc958625039183f66fedb219f8bc86785fa95d94,darkdragn/lz4tools,",bug"
80f9f4c3ddf6552b50477308e0397a9b4654423a,MSeifert04/iteration_utilities,",type: enhancement,0-tests,0-code: c,type: bug 🔥,xREMOVEDx ci: travis,ci: github-actions"
706577570e4e71a7025af94fc85c47d8297b1ea6,MSeifert04/iteration_utilities,",0-code: c,type: bug 🔥"
20c9b633321168e03a8ba761fe4994fc02b8c173,MSeifert04/iteration_utilities,",type: bug,0-code: c"
119cfcffe1885fca178e15710f084b25d387a658,MSeifert04/iteration_utilities,",type: bug,0-code: c"
dc5e033ad648e5373ae1f34d4409380bbd4ab8a1,MSeifert04/iteration_utilities,",type: bug,0-code: c"
1361a3a3e1c0d75dd4ee2ad2609d2f795bcdfc6f,MSeifert04/iteration_utilities,",type: bug,0-code: c"
88f27a25037988742e19696d7de574476cdb667d,MSeifert04/iteration_utilities,",type: bug,0-code: c"
979ba4eb7617b0a127a10e0cb75fa7dd1c20f2f2,MSeifert04/iteration_utilities,",type: bug,0-code: c"
6aae96295c6f0ecddb7ee8f82b226fa539996851,MSeifert04/iteration_utilities,",type: bug,0-code: c"
09cfa19e4cdb3f37a1489c90fdc5a597d1b7db30,MSeifert04/iteration_utilities,",type: bug,0-code: c"
601cb7b800e42cc07e666582990a1328584f3591,MSeifert04/iteration_utilities,",type: bug,0-code: python"
cc65fe0dc0553bf76472d60889953fe7e55dd533,MSeifert04/iteration_utilities,",type: bug,0-code: c"
0fbdedc5d4fa9b5c407a5d86e92ef0bc7963146c,MSeifert04/iteration_utilities,",type: bug,0-documentation"
099d342bd36b1e9a9a650480a9c640050f025216,MSeifert04/iteration_utilities,",type: bug,0-code: c"
5b0e3710002cb4eacd7918db3ce0aff44c2d4d6b,MSeifert04/iteration_utilities,",type: bug,0-tests,0-code: c"
f497891bf264cda907fbff06718a65eaad398920,MSeifert04/iteration_utilities,",type: bug,0-code: c"
d4f8f6c17f7c77edbed8586925fc444b4b2c0714,MSeifert04/iteration_utilities,",type: bug,type: refactor,0-code: c"
70837d2a301219ed24bc76ad62e4544b0999e293,MSeifert04/iteration_utilities,",type: bug,0-code: c"
e9a66846e02dabb43c9cb0e3502553999c95657b,MSeifert04/iteration_utilities,",type: bug,0-tests"
fd0bcb860afad876135faff8936c83d736feebad,MSeifert04/iteration_utilities,",type: bug,0-documentation"
aae4b0c5d34c29b7abb7502370c230f7a5e7bc29,MSeifert04/iteration_utilities,",type: bug,0-code: c"
9b61a1c72a4fd4d1b2f5ee1b2e0c79c347e0366f,MSeifert04/iteration_utilities,",type: bug,0-code: c"
e52dcac26ff128f15698353ea738518a2cb024c6,MSeifert04/iteration_utilities,",type: bug,0-code: c"
f979c78abe9cbbc36e22ec588506cd6d44527428,MSeifert04/iteration_utilities,",type: bug,0-tests,0-code: c"
d6d9b648c1220d06bad660f96a13898625415c4e,MSeifert04/iteration_utilities,",type: bug,0-code: c"
de131b9bf4318cf193122efdef71b5ff492b2365,dcantrell/pyparted,",bug"
7cdb2e1b4f20f65ae9af1deefcc2185346837fcb,libstorage/libstoragemgmt,",bug"
553770fb002ef24429a86f816986d74297ef69f2,libstorage/libstoragemgmt,",bug"
8071d1bbf943cfe98aa49e4a8edb65d90b9accdf,libstorage/libstoragemgmt,",bug"
